objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"404: Law Not Found","145209","0","","0","1","0","0","0","0","0","0","0","3","","","","","","26618883","5.50829","5.853","2.3333","15591","256","thing","404: Law Not Found","2","6","60","60","60","2013","2,3,4,5","","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"5-Minute Dungeon","207830","7","1","0","1","0","0","0","0","0","0","0","1","","","","","","38261019","6.67733","7.04843","1.1198","754","12525","thing","5-Minute Dungeon","2","5","30","30","5","2017","2,3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"5-Minute Dungeon: Curses! Foiled Again!","253170","0","","0","1","0","0","0","0","0","0","0","3","","","","","","57281940","6.04887","7.4196","1.2857","0","3349","thing","5-Minute Dungeon: Curses! Foiled Again!","2","6","30","30","5","2018","3,4,5,6","4,5","6+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"5-Minute Mystery","294514","0","","0","1","0","0","0","0","0","0","0","3","","Kickstarter","","","","69024265","5.972","7.43145","1.125","2561","1797","thing","5-Minute Mystery","1","4","30","30","5","2020","1,2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"6 nimmt!","432","7","3","0","1","0","0","0","0","0","0","0","3","","","","","","36271175","6.79021","6.91802","1.2095","599","28540","thing","6 nimmt!","2","10","45","45","45","1994","4,5,6,7,8,9,10","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Cudów Świata","68448","0","","0","1","0","0","0","0","0","0","0","1","","","","","","36271189","7.65135","7.75118","2.3294","61","112647","thing","7 Wonders","2","7","30","30","30","2011","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Rebel Sp. z o.o.","Polish","2011","Polish edition 2011"
"7 Wonders Duel","173346","8","4","0","1","0","0","0","0","0","0","0","1","","","","","","42213591","7.97984","8.10689","2.2265","17","94734","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel: Pantheon","202976","0","","0","1","0","0","0","1","0","0","0","1","","","","","","57127732","7.60446","8.02865","2.3","0","27588","thing","7 Wonders Duel: Pantheon","2","2","45","45","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders Duel: The Messe Essen Promo Card","186069","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42213597","6.32388","7.34087","2.2143","0","6223","thing","7 Wonders Duel: The Messe Essen Promo Card","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Cities","111661","0","","0","1","0","0","0","0","0","0","0","1","","","","","","56278308","7.47473","7.8389","2.3509","0","26806","thing","7 Wonders: Cities","2","8","40","40","40","2012","3,4,5,6,7,8","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Leaders","92539","0","","0","1","0","0","0","0","0","0","0","1","","","","","","56278314","7.55121","7.83271","2.2789","0","31736","thing","7 Wonders: Leaders","2","7","40","40","40","2011","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Wonder Pack","133993","0","","0","1","0","0","0","0","0","0","0","1","","","","","","56278320","7.08206","7.6013","2.2887","0","16920","thing","7 Wonders: Wonder Pack","2","7","30","30","30","2013","3,4,5,6,7","4","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent","180263","9","11","0","1","0","0","0","0","0","0","0","1","","","","","","45795956","7.81551","8.14822","2.8633","35","30600","thing","The 7th Continent","1","4","1000","1000","5","2017","1,2,3","1,2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The 7th Continent: Action Deck Discard","186151","0","","0","1","0","0","0","0","0","1","0","1","","","","","","46219618","5.7062","7.44701","0","0","1912","thing","The 7th Continent: Action Deck Discard","1","4","1000","1000","5","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
